Fecha,Clics,Impresiones,CTR,Posición
2026-02-01,1,426,0.23%,39.9
2026-02-02,4,1632,0.25%,43.9
2026-02-03,8,1901,0.42%,37.8
2026-02-04,14,2240,0.62%,40.2
2026-02-05,18,2649,0.68%,43.3
2026-02-06,7,3361,0.21%,48.7
2026-02-07,18,2268,0.79%,42.6
2026-02-08,14,1995,0.7%,42.7
